text,trans,type
[お1人様1つまで],[До 1 шт. на человека],text
ホームユニットで設定できる背景です,Фон，который можно установить для домашнего юнита,text
SR以上のサポートアイドルをLv.50にするチケットです,Билет для повышения SR и выше Support-айдолов до Lv.50,text
【Lv.50以上のサポートアイドルには使えません】,[Нельзя использовать для Support-айдолов выше Lv.50],text
限定復刻パッケージ,Ограниченный восстановленный пакет,text
使用時サポートアイドルの配置をランダムで変更します,При использовании распределение Support-айдолов меняется случайным образом,text
約束のトワレ,Духи обещания,text
SSR確定ガシャチケット,Билет на гашу с гарантией SSR,text
10連ガシャチケット,Билет на 10 вытягиваний,text
SSR確定ガシャが引けるチケットです,Билет на гашу с гарантией получения SSR,text
SR以上確定ガシャが引けるチケットです,Билет на гашу с гарантией получения SR и выше,text
スタミナが最大量の1/2回復します,Восстанавливает 1/2 от максимальной выносливости,text
スタミナが最大量の1/4回復します,Восстанавливает 1/4 от максимальной выносливости,text
スタミナが最大量の同量回復します,Полное восстановление выносливости,text
フェスエントリーチケット,Билет на участие в Fes,text
フェス参加権が回復します,Восстанавливает 1 право участия в Fes,text
ゴールドトレーニングチケット,Золотой тренировочный билет,text
プラチナトレーニングチケット,Платиновый тренировочный билет,text
サポートアイドルのトレーニングに必要なチケットです,Билет，необходимый для тренировки Support-айдолов,text
シルバートレーニングチケット,Серебряный тренировочный билет,text
ブロンズトレーニングチケット,Бронзовый тренировочный билет,text
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,Отменяет один негативный эффект от ошибки или крупной ошибки во время Produce,text
秘密のメモ帳,Тайный блокнот,text
プロデュース中に発生するコミュの選択後の結果を見えるようにします,Позволяет видеть исходы вариантов в диалогах во время Produce,text
約束のコロン,Одеколон обещания,text
アルバムの鍵,Ключ от альбома,text
イベントコミュを解放できるアイテムです,Предмет для разблокировки ивент-комму,text
アイドルコミュの鍵,Ключ от айдол-комму,text
アイドルコミュを解放できるアイテムです,Предмет для разблокировки айдол-комму,text
始まりのメッセージカード,Карточка первого сообщения,text
金色のメッセージカード,Золотая карточка сообщения,text
モーニングコミュパン,Хлеб для утренних диалогов,text
フェスエントリーチケット5,Билет на 5 участий в Fes,text
フェス参加権が5回復します,Восстанавливает 5 прав участия в Fes,text
SSRのプロデュースアイドルを特訓します,Используется для тренировки SSR Produce-айдола,text
SSRのサポートアイドルを特訓します,Используется для тренировки SSR Support-айдола,text
SRのプロデュースアイドルを特訓します,Используется для тренировки SR Produce-айдола,text
SRのサポートアイドルを特訓します,Используется для тренировки SR Support-айдола,text
283くじ,Лотерейный билет 283,text
283くじの抽選が受けれるチケットです。,Билет для участия в лотерее 283,text
お手製差し入れ,Домашние угощения,text
2018SE@SONAL WINTERチケット,Купон 2018 SE@SONAL WINTER,text
Exスキルスポイト,Шприц для Ex-навыков,text
Exスキルを外す事ができるアイテムです,Предмет для снятия Ex-навыка,text
オーバーキャストモノクローム交換チケット,Купон обмена на Overcast Monochrome,text
オーバーキャストモノクロームと交換できるチケットです,Билет на обмен костюма Overcast Monochrome,text
集めるとチケット交換で特定のアイドルと交換できるチケットです,Собрав，можно обменять на определённого айдола через систему обмена билетов,text
はづきさんシール,Наклейка Хадзуки,text
集めると特訓はづきさんと交換できるシールです,Собрав，можно обменять на Хадзуки-сан,text
フェス参加権が1回復します,Восстанавливает 1 участие в Fes,text
ネココのぬいぐるみ,Плюшевый Nekoko,text
トモモのぬいぐるみ,Плюшевый Tomomo,text
かっちゃんのぬいぐるみ,Плюшевый Кacчян,text
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,Отменяет 2 негативных эффекта от ошибки или крупной ошибки в Produce,text
約束のパルファム,Парфюм обещания,text
283メモリーアルバム,Альбом воспоминаний 283,text
こんがりモーニングコミュパン,Поджаренный хлеб для утренних диалогов,text
スペシャルモーニングコミュパン,Особый хлеб для утренних диалогов,text
銅の羽根,Медное перо,text
銀の羽根,Серебряное перо,text
金の羽根,Золотое перо,text
プラチナの羽根,Платиновое перо,text
虹の羽根,Радужное перо,text
